420,162,92,316,12180,1
380,162,75,302,11516,1
381,162,78,304,11724,1
383,164,80,304,11640,1
382,164,81,306,11751,1
380,166,89,306,11629,1
379,166,90,306,11740,1
379,166,90,306,11740,1
375,167,96,306,11670,1
369,167,100,306,11488,1
362,167,104,304,11718,1
356,168,110,304,11667,1
351,166,112,306,11763,1
346,168,115,306,12128,1
341,168,119,308,12138,1
334,169,118,308,12241,1
324,170,119,312,12535,1
324,170,119,312,12535,1
321,172,117,314,12581,1
320,175,116,318,12786,1
322,177,114,318,12787,1
326,177,114,320,12502,1
333,177,112,320,12971,1
342,176,112,320,12953,1
353,177,108,322,13112,1
368,174,110,324,13739,1
382,181,111,364,14129,1
399,182,119,384,14619,1
417,180,112,365,14579,1
437,178,127,340,15188,1
451,178,114,360,16050,1
463,178,108,366,15930,1
474,177,117,380,16845,1
481,176,107,376,16778,1
485,177,110,386,16838,1
489,174,122,371,16821,1
489,173,121,374,16251,1
487,166,109,330,15145,1
485,161,109,326,15275,1
481,159,108,324,14901,1
478,155,107,320,14971,1
476,153,119,316,14752,1
472,154,108,314,14063,1
468,153,101,312,13660,1
465,149,102,310,13931,1
458,148,109,308,14029,1
448,148,106,306,13326,1
436,149,111,302,12762,1
420,148,109,298,12190,1
404,149,112,294,11168,1
387,152,118,292,10551,1
371,155,115,290,9851,1
358,154,112,288,9628,1
349,156,107,288,9300,1
345,157,102,290,9514,1
344,155,97,292,10008,1
344,159,97,292,9713,1
344,158,98,294,10195,1
341,160,100,296,10492,1
338,161,104,296,10653,1
335,162,110,298,11063,1
330,162,112,298,11393,1
326,161,111,298,11652,1
325,161,109,298,11908,1
325,164,112,302,12201,1
332,167,106,306,12558,1
345,170,102,314,12986,1
364,171,102,320,13490,1
384,173,100,326,13927,1
408,171,130,329,14673,1
430,168,111,332,15468,1
456,171,108,335,15711,1
481,170,102,338,16476,1
506,169,102,342,17336,1
525,169,102,346,18294,1
538,173,100,350,18112,1
543,172,101,350,18255,1
541,175,98,352,17873,1
537,175,97,352,17538,1
531,174,89,351,17467,1
527,168,87,350,18050,1
521,164,88,350,17759,1
514,165,86,346,17057,1
508,161,86,342,16815,1
499,159,83,336,15963,1
489,161,81,356,15441,1
480,155,79,323,14576,1
473,156,77,318,13462,1
467,153,77,314,13448,1
462,150,77,310,13198,1
457,148,76,308,13142,1
452,147,81,306,13036,1
448,146,78,304,12955,1
444,148,76,304,12439,1
440,148,76,302,12416,1
432,143,79,302,12628,1
421,147,81,298,12002,1
406,147,82,294,11439,1
389,147,86,288,10702,1
372,144,87,284,10340,1
372,144,87,284,10340,1
346,144,76,278,9598,1
341,145,76,277,9614,1
342,145,75,280,9971,1
346,149,72,283,10010,1
349,150,75,286,10510,1
352,152,85,290,10821,1
352,151,89,290,10965,1
350,151,90,290,11382,1
348,152,88,290,11524,1
348,152,88,290,11524,1
346,153,90,291,11684,1
343,152,100,292,12031,1
338,153,94,294,12283,1
337,152,105,294,12645,1
339,152,97,294,12840,1
348,153,96,296,12892,1
364,154,94,300,13271,1
386,153,94,306,13969,1
409,158,91,312,14244,1
409,158,91,312,14244,1
434,156,87,316,14876,1
456,156,86,320,15564,1
476,157,88,324,16182,1
505,157,92,330,17354,1
505,157,92,330,17354,1
516,161,90,332,17207,1
518,163,91,332,16832,1
519,160,92,334,17186,1
520,160,90,334,17091,1
520,156,92,334,17206,1
520,156,92,334,17206,1
520,164,89,332,15589,1
518,157,86,330,16102,1
515,156,83,328,15823,1
511,152,86,322,15516,1
492,149,90,310,13842,1
477,146,91,304,13363,1
461,150,90,300,12152,1
442,148,93,294,11801,1
423,143,89,290,11632,1
423,143,89,290,11632,1
405,144,88,286,10790,1
387,144,88,282,10408,1
373,145,82,280,9888,1
363,143,84,278,9803,1
354,146,82,278,9821,1
348,147,76,278,9609,1
344,147,76,280,10081,1
344,147,76,280,10081,1
344,152,77,288,10902,1
344,152,77,288,10902,1
343,152,80,292,11073,1
341,158,82,294,11259,1
340,158,80,298,11724,1
337,160,82,300,11996,1
336,160,81,300,12206,1
335,160,84,302,12468,1
332,159,85,302,12882,1
330,157,90,302,13358,1
329,157,84,304,13592,1
333,160,87,306,13750,1
344,161,84,310,14104,1
359,163,80,316,14160,1
378,166,82,322,14390,1
399,162,90,326,15689,1
421,163,91,330,16154,1
443,162,90,332,16782,1
463,162,94,335,17254,1
480,163,95,338,17388,1
493,164,96,340,17703,1
500,166,94,340,17709,1
502,167,95,342,17635,1
499,167,94,340,17256,1
497,165,94,338,17111,1
494,166,90,336,16363,1
489,166,88,334,15692,1
483,156,85,330,16014,1
478,156,85,326,15301,1
473,153,81,320,14707,1
468,153,80,316,14043,1
464,151,78,312,13489,1
462,150,77,309,13165,1
460,148,74,306,12963,1
