30099,254.5937941,526,52,619,289,572,170,1
29862,251.7816514,530,55,615,292,572,173,1
29750,253.0612574,527,52,613,290,570,171,1
30702,253.0612574,527,53,613,291,570,172,1
30226,253.4028413,525,52,612,290,568,171,1
31047,252.4638588,526,52,613,289,569,170,1
30810,252.8102055,525,51,613,288,569,169,1
31070,255.0333312,524,49,613,288,568,168,1
30464,252.7231687,525,50,610,288,567,169,1
30226,253.0612574,523,48,609,286,566,167,1
29500,250.503493,523,51,607,287,565,169,1
30464,253.0612574,522,50,608,288,565,169,1
30099,251.7816514,521,51,606,288,563,169,1
30226,252.3885893,522,51,606,289,564,170,1
30114,253.6651336,520,49,605,288,562,168,1
29512,252.0575331,520,50,603,288,561,169,1
29388,250.7847683,521,50,603,287,562,168,1
29264,249.8399488,522,51,604,287,563,169,1
29862,251.4458192,521,49,605,286,563,167,1
28659,247.3418687,523,52,606,285,564,168,1
30080,252.0039682,526,50,617,285,571,167,1
30654,250.710989,532,51,622,285,577,168,1
30550,252.3667965,533,51,625,286,579,168,1
30573,253.1600284,537,49,626,286,581,167,1
28060,243.846263,539,47,620,277,579,162,1
26775,237.4889471,542,49,618,274,580,161,1
23634,215.127869,543,44,617,246,580,145,1
25584,225.4617484,544,49,631,257,587,153,1
19323,181.8928256,545,42,607,213,576,127,1
19775,189.232661,542,44,614,219,578,131,1
20592,190.53871,543,47,616,223,579,135,1
22022,196.8476568,542,50,617,232,579,141,1
23180,204.2669822,541,52,616,242,578,147,1
31122,249.3030285,538,61,624,295,581,178,1
31892,252.7231687,535,58,620,296,577,177,1
31833,257.7692767,530,54,616,297,573,175,1
31115,258.3582784,526,51,608,296,567,173,1
30380,257.7304794,523,50,603,295,563,172,1
29890,257.116705,520,50,598,295,559,172,1
29155,256.2225595,518,50,593,295,555,172,1
27702,252.6064132,515,49,584,292,549,170,1
27945,252.8813951,514,48,584,291,549,169,1
27945,252.6064132,513,50,582,293,547,171,1
26880,248.9096222,513,50,579,290,546,170,1
26656,246.9817807,511,50,577,288,544,169,1
26529,248.2136177,510,49,577,288,543,168,1
25960,244.7876631,509,51,574,287,541,169,1
25850,244.3644819,508,51,575,286,541,168,1
25056,240.6657433,509,52,573,284,541,168,1
25056,240.6657433,508,52,572,284,540,168,1
25308,237.0843732,513,55,578,283,545,169,1
25764,237.6404848,515,54,582,282,548,168,1
25424,236.9662423,518,55,586,282,552,168,1
26105,238.1449139,521,56,593,283,557,169,1
25990,237.8066441,524,56,598,282,561,169,1
26676,240.3331022,528,56,604,284,566,170,1
26793,242.243679,531,53,610,282,570,167,1
27360,241.627813,534,54,614,282,574,168,1
27709,242.9032729,536,54,617,283,576,168,1
28875,245.4587542,538,54,621,285,579,169,1
28536,247.0809584,538,52,623,284,580,168,1
28182,244.7897057,542,52,623,283,582,167,1
27480,242.5716389,544,49,624,278,584,163,1
27013,240.0270818,547,48,625,275,586,161,1
26660,231.9353358,546,42,633,257,589,149,1
28251,237.1539584,552,41,643,260,597,150,1
21112,200.4494949,550,35,634,217,592,126,1
22680,203.5313244,549,37,644,217,596,127,1
15965,165.9548131,549,38,620,188,584,113,1
17595,167.0269439,549,55,616,208,582,131,1
19608,161.1862277,548,57,607,207,577,132,1
19886,176.6154014,544,63,612,226,578,144,1
22748,199.919984,542,67,610,255,576,161,1
